Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,American_Indian,Asian,Pacific_Islander,Two_or_More_Races,Special_Ed_Current,Continuously_Enrolled,Non_Continuously_Enrolled,Econ_Disadv,ELL
Ser_Ninos_Charter_Grade 5 Reading,Ser_Ninos_Charter,Grade 5 Reading,At Meets Grade Level or Above,2022,0.58,0.58,0.43,-,0.43,-,*,-,-,-,0.17,0.47,0.18,0.43,0.41
Ser_Ninos_Charter_Grade 5 Reading,Ser_Ninos_Charter,Grade 5 Reading,At Meets Grade Level or Above,2021,0.46,0.47,0.44,-,0.43,*,*,-,-,-,0.20,0.41,0.58,0.44,0.43
Ser_Ninos_Charter_Grade 5 Reading,Ser_Ninos_Charter,Grade 5 Reading,At Masters Grade Level,2022,0.36,0.38,0.25,-,0.25,-,*,-,-,-,0.00,0.26,0.18,0.24,0.23
Ser_Ninos_Charter_Grade 5 Reading,Ser_Ninos_Charter,Grade 5 Reading,At Masters Grade Level,2021,0.30,0.31,0.23,-,0.23,*,*,-,-,-,0.00,0.22,0.26,0.23,0.23
Ser_Ninos_Charter_Grade 5 Mathematics,Ser_Ninos_Charter,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.68,-,0.68,-,*,-,-,-,0.33,0.70,0.55,0.68,0.66
Ser_Ninos_Charter_Grade 5 Mathematics,Ser_Ninos_Charter,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,0.70,0.70,0.84,-,0.83,*,*,-,-,-,0.80,0.84,0.84,0.83,0.83
Ser_Ninos_Charter_Grade 5 Mathematics,Ser_Ninos_Charter,Grade 5 Mathematics,At Meets Grade Level or Above,2022,0.48,0.49,0.32,-,0.33,-,*,-,-,-,0.17,0.35,0.09,0.33,0.31
Ser_Ninos_Charter_Grade 5 Mathematics,Ser_Ninos_Charter,Grade 5 Mathematics,At Meets Grade Level or Above,2021,0.44,0.45,0.44,-,0.43,*,*,-,-,-,0.20,0.45,0.37,0.43,0.43
Ser_Ninos_Charter_Grade 5 Mathematics,Ser_Ninos_Charter,Grade 5 Mathematics,At Masters Grade Level,2022,0.25,0.26,0.14,-,0.15,-,*,-,-,-,0.17,0.16,0.00,0.15,0.13
Ser_Ninos_Charter_Grade 5 Mathematics,Ser_Ninos_Charter,Grade 5 Mathematics,At Masters Grade Level,2021,0.25,0.26,0.18,-,0.17,*,*,-,-,-,0.00,0.18,0.16,0.18,0.17
Ser_Ninos_Charter_Grade 5 Science,Ser_Ninos_Charter,Grade 5 Science,At Approaches Grade Level or Above,2022,0.66,0.66,0.47,-,0.47,-,*,-,-,-,0.33,0.51,0.18,0.47,0.45
Ser_Ninos_Charter_Grade 5 Science,Ser_Ninos_Charter,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.38,-,0.38,*,*,-,-,-,0.10,0.39,0.37,0.39,0.37
Ser_Ninos_Charter_Grade 5 Science,Ser_Ninos_Charter,Grade 5 Science,At Meets Grade Level or Above,2022,0.38,0.39,0.32,-,0.32,-,*,-,-,-,0.33,0.35,0.09,0.32,0.30
Ser_Ninos_Charter_Grade 5 Science,Ser_Ninos_Charter,Grade 5 Science,At Meets Grade Level or Above,2021,0.31,0.32,0.11,-,0.11,*,*,-,-,-,0.10,0.12,0.05,0.11,0.10
Ser_Ninos_Charter_Grade 5 Science,Ser_Ninos_Charter,Grade 5 Science,At Masters Grade Level,2022,0.18,0.19,0.08,-,0.09,-,*,-,-,-,0.00,0.09,0.00,0.08,0.08
Ser_Ninos_Charter_Grade 5 Science,Ser_Ninos_Charter,Grade 5 Science,At Masters Grade Level,2021,0.13,0.14,0.02,-,0.02,*,*,-,-,-,0.00,0.02,0.00,0.02,0.01
Ser_Ninos_Charter_Grade 6 Reading,Ser_Ninos_Charter,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.70,0.70,0.71,-,0.69,*,*,-,-,-,0.50,0.77,0.40,0.70,0.70
Ser_Ninos_Charter_Grade 6 Reading,Ser_Ninos_Charter,Grade 6 Reading,At Approaches Grade Level or Above,2021,0.62,0.64,0.52,-,0.52,-,-,-,-,-,0.14,0.55,0.36,0.51,0.51
Ser_Ninos_Charter_Grade 6 Reading,Ser_Ninos_Charter,Grade 6 Reading,At Meets Grade Level or Above,2022,0.43,0.44,0.43,-,0.43,*,*,-,-,-,0.25,0.48,0.20,0.44,0.42
Ser_Ninos_Charter_Grade 6 Reading,Ser_Ninos_Charter,Grade 6 Reading,At Meets Grade Level or Above,2021,0.32,0.34,0.19,-,0.19,-,-,-,-,-,0.00,0.23,0.00,0.18,0.18
Ser_Ninos_Charter_Grade 6 Reading,Ser_Ninos_Charter,Grade 6 Reading,At Masters Grade Level,2022,0.23,0.24,0.17,-,0.17,*,*,-,-,-,0.00,0.19,0.07,0.18,0.15
Ser_Ninos_Charter_Grade 6 Reading,Ser_Ninos_Charter,Grade 6 Reading,At Masters Grade Level,2021,0.15,0.16,0.06,-,0.06,-,-,-,-,-,0.00,0.07,0.00,0.06,0.06
Ser_Ninos_Charter_Grade 6 Mathematics,Ser_Ninos_Charter,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.83,-,0.83,*,*,-,-,-,0.75,0.87,0.60,0.83,0.82
Ser_Ninos_Charter_Grade 6 Mathematics,Ser_Ninos_Charter,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.59,-,0.59,-,-,-,-,-,0.29,0.64,0.36,0.59,0.58
Ser_Ninos_Charter_Grade 6 Mathematics,Ser_Ninos_Charter,Grade 6 Mathematics,At Meets Grade Level or Above,2022,0.39,0.40,0.39,-,0.41,*,*,-,-,-,0.25,0.44,0.13,0.40,0.39
Ser_Ninos_Charter_Grade 6 Mathematics,Ser_Ninos_Charter,Grade 6 Mathematics,At Meets Grade Level or Above,2021,0.36,0.37,0.25,-,0.25,-,-,-,-,-,0.00,0.30,0.00,0.24,0.25
Ser_Ninos_Charter_Grade 6 Mathematics,Ser_Ninos_Charter,Grade 6 Mathematics,At Masters Grade Level,2022,0.16,0.18,0.12,-,0.13,*,*,-,-,-,0.13,0.14,0.00,0.12,0.10
Ser_Ninos_Charter_Grade 6 Mathematics,Ser_Ninos_Charter,Grade 6 Mathematics,At Masters Grade Level,2021,0.15,0.17,0.02,-,0.02,-,-,-,-,-,0.00,0.03,0.00,0.02,0.01
Ser_Ninos_Charter_Grade 7 Reading,Ser_Ninos_Charter,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.80,0.81,0.82,-,0.83,-,-,-,-,-,*,0.82,0.88,0.82,0.78
Ser_Ninos_Charter_Grade 7 Reading,Ser_Ninos_Charter,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.69,-,0.70,*,-,-,-,-,*,0.69,0.75,0.68,0.69
Ser_Ninos_Charter_Grade 7 Reading,Ser_Ninos_Charter,Grade 7 Reading,At Meets Grade Level or Above,2022,0.56,0.58,0.64,-,0.65,-,-,-,-,-,*,0.64,0.63,0.64,0.55
Ser_Ninos_Charter_Grade 7 Reading,Ser_Ninos_Charter,Grade 7 Reading,At Meets Grade Level or Above,2021,0.45,0.47,0.41,-,0.42,*,-,-,-,-,*,0.42,0.38,0.40,0.41
Ser_Ninos_Charter_Grade 7 Reading,Ser_Ninos_Charter,Grade 7 Reading,At Masters Grade Level,2022,0.37,0.39,0.37,-,0.37,-,-,-,-,-,*,0.36,0.50,0.36,0.28
Ser_Ninos_Charter_Grade 7 Reading,Ser_Ninos_Charter,Grade 7 Reading,At Masters Grade Level,2021,0.25,0.27,0.18,-,0.18,*,-,-,-,-,*,0.17,0.25,0.17,0.16
Ser_Ninos_Charter_Grade 7 Mathematics,Ser_Ninos_Charter,Grade 7 Mathematics,At Approaches Grade Level or Above,2022,0.61,0.63,0.74,-,0.75,-,-,-,-,-,*,0.74,0.75,0.73,0.69
Ser_Ninos_Charter_Grade 7 Mathematics,Ser_Ninos_Charter,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,0.55,0.57,0.58,-,0.57,*,-,-,-,-,*,0.58,0.50,0.57,0.56
Ser_Ninos_Charter_Grade 7 Mathematics,Ser_Ninos_Charter,Grade 7 Mathematics,At Meets Grade Level or Above,2022,0.31,0.34,0.33,-,0.34,-,-,-,-,-,*,0.36,0.13,0.33,0.24
Ser_Ninos_Charter_Grade 7 Mathematics,Ser_Ninos_Charter,Grade 7 Mathematics,At Meets Grade Level or Above,2021,0.27,0.29,0.29,-,0.30,*,-,-,-,-,*,0.31,0.13,0.30,0.30
Ser_Ninos_Charter_Grade 7 Mathematics,Ser_Ninos_Charter,Grade 7 Mathematics,At Masters Grade Level,2022,0.13,0.15,0.13,-,0.13,-,-,-,-,-,*,0.13,0.13,0.13,0.04
Ser_Ninos_Charter_Grade 7 Mathematics,Ser_Ninos_Charter,Grade 7 Mathematics,At Masters Grade Level,2021,0.12,0.13,0.07,-,0.07,*,-,-,-,-,*,0.06,0.13,0.06,0.06
