Primary_Key_2018_2019,School_Name,Grade_Test_Type,Mastery_Level,Baseline_Year,Compared_Year,YOY_State_2019,YOY_Region_2019,YOY_District_2019,YOY_African_American_2019,YoY_Hispanic_2019,YoY_White_2019,YoY_Econ_Disadv_2019,YoY_ELL_2019,Primary_Key_2019_2021,YOY_State_2021,YOY_Region_2021,YOY_District_2021,YOY_African_American_2021,YoY_Hispanic_2021,YoY_White_2021,YoY_Econ_Disadv_2021,YoY_ELL_2021,Primary_Key_2021_2022,YOY_State_2022,YOY_Region_2022,YOY_District_2022,YOY_African_American_2022,YoY_Hispanic_2022,YoY_White_2022,YoY_Econ_Disadv_2022,YoY_ELL_2022
_Grade 6 Mathematics_At Meets Grade Level or Above_2019,,Grade 6 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.02,-0.03,0.05,-0.03,0.08,-0.02,-0.02,,,,,,,,,,,,,,,,,,
_Grade 6 Mathematics_At Masters Grade Level_2019,,Grade 6 Mathematics,At Masters Grade Level,2018,2019,0.03,0.02,0.001,0.03,0.001,0.23,0.01,-0.01,,,,,,,,,,,,,,,,,,
_Grade 6 Reading_At Approaches Grade Level or Above_2019,,Grade 6 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.02,-0.05,-0.07,-0.04,0.1,-0.05,-0.04,,,,,,,,,,,,,,,,,,
_Grade 6 Reading_At Meets Grade Level or Above_2019,,Grade 6 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.03,-0.01,0.1,-0.03,0.001,0.01,-0.07,,,,,,,,,,,,,,,,,,
_Grade 6 Reading_At Masters Grade Level_2019,,Grade 6 Reading,At Masters Grade Level,2018,2019,-0.01,-0.01,0.02,0.13,-0.02,0.001,0.03,-0.03,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,2019,0.01,0.0,-0.02,-0.04,-0.01,-0.05,-0.03,-0.02,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,0.001,-0.03,0.01,-0.08,-0.01,0.01,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 3 Mathematics_At Masters Grade Level_2019,Aldine_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,0.001,-0.01,0.01,-0.04,0.001,0.02,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.04,-0.02,-0.04,-0.07,-0.04,-0.04,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 3 Reading_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,2019,0.02,0.02,0.02,0.001,0.02,-0.13,0.01,0.02,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 3 Reading_At Masters Grade Level_2019,Aldine_ISD,Grade 3 Reading,At Masters Grade Level,2018,2019,0.02,0.03,0.03,0.02,0.04,0.01,0.04,0.04,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,-0.07,-0.11,-0.07,-0.05,-0.08,-0.07,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,-0.05,-0.1,-0.04,-0.09,-0.06,-0.05,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 4 Mathematics_At Masters Grade Level_2019,Aldine_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,2019,0.01,0.01,-0.01,-0.07,0.001,-0.02,-0.02,-0.01,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.02,0.04,0.001,0.04,-0.03,0.04,0.03,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 4 Reading_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.01,-0.01,-0.07,0.001,-0.08,-0.01,-0.02,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 4 Reading_At Masters Grade Level_2019,Aldine_ISD,Grade 4 Reading,At Masters Grade Level,2018,2019,-0.02,-0.02,-0.01,-0.03,0.001,-0.06,-0.01,-0.02,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,0.02,0.001,0.03,0.02,0.03,0.04,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,0.04,0.04,0.04,-0.06,0.04,0.01,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 5 Mathematics+_At Masters Grade Level_2019,Aldine_ISD,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,0.08,0.06,0.08,0.1,0.07,0.04,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2018,2019,0.02,0.03,0.06,0.07,0.06,-0.03,0.06,0.05,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2018,2019,0.001,0.0,0.02,0.03,0.02,-0.01,0.02,-0.03,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 5 Reading+_At Masters Grade Level_2019,Aldine_ISD,Grade 5 Reading+,At Masters Grade Level,2018,2019,0.03,0.03,0.04,0.04,0.03,0.1,0.04,-0.01,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 5 Science_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 5 Science,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.04,-0.03,-0.04,0.001,-0.04,-0.07,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 5 Science_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 5 Science,At Meets Grade Level or Above,2018,2019,0.08,0.08,0.06,0.06,0.05,0.12,0.06,0.02,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 5 Science_At Masters Grade Level_2019,Aldine_ISD,Grade 5 Science,At Masters Grade Level,2018,2019,0.07,0.07,0.03,0.01,0.04,0.07,0.03,0.01,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2018,2019,0.04,0.03,-0.04,-0.05,-0.04,-0.01,-0.04,-0.12,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 6 Mathematics_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.02,-0.07,-0.05,-0.08,-0.14,-0.09,-0.17,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 6 Mathematics_At Masters Grade Level_2019,Aldine_ISD,Grade 6 Mathematics,At Masters Grade Level,2018,2019,0.03,0.02,-0.03,-0.01,-0.03,-0.04,-0.03,-0.08,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 6 Reading_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.02,-0.07,-0.06,-0.08,0.04,-0.07,-0.2,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 6 Reading_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 6 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.03,-0.07,-0.04,-0.08,-0.12,-0.07,-0.15,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 6 Reading_At Masters Grade Level_2019,Aldine_ISD,Grade 6 Reading,At Masters Grade Level,2018,2019,-0.01,-0.01,-0.04,-0.02,-0.04,-0.04,-0.04,-0.06,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2018,2019,0.03,0.02,0.05,0.09,0.05,0.04,0.05,-0.07,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 7 Mathematics_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.03,0.08,0.08,0.07,0.12,0.06,-0.03,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 7 Mathematics_At Masters Grade Level_2019,Aldine_ISD,Grade 7 Mathematics,At Masters Grade Level,2018,2019,-0.01,-0.02,0.02,0.01,0.02,0.04,0.01,-0.03,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 7 Reading_At Approaches Grade Level or Above_2019,Aldine_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.01,0.02,0.04,0.01,0.11,0.01,-0.13,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 7 Reading_At Meets Grade Level or Above_2019,Aldine_ISD,Grade 7 Reading,At Meets Grade Level or Above,2018,2019,0.01,0.01,0.03,0.03,0.04,-0.03,0.02,-0.11,,,,,,,,,,,,,,,,,,
Aldine_ISD_Grade 7 Reading_At Masters Grade Level_2019,Aldine_ISD,Grade 7 Reading,At Masters Grade Level,2018,2019,0.001,0.01,0.01,0.03,0.01,0.03,0.01,-0.07,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2019,Alief_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,2019,0.01,0.0,-0.02,0.001,-0.03,-0.03,-0.02,-0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2019,Alief_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,-0.01,0.04,-0.03,-0.04,0.001,-0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 3 Mathematics_At Masters Grade Level_2019,Alief_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,0.001,0.03,-0.01,-0.03,0.01,-0.01,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2019,Alief_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.03,0.01,-0.05,-0.02,-0.03,-0.03,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 3 Reading_At Meets Grade Level or Above_2019,Alief_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,2019,0.02,0.02,0.01,0.03,0.001,-0.01,0.03,0.01,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 3 Reading_At Masters Grade Level_2019,Alief_ISD,Grade 3 Reading,At Masters Grade Level,2018,2019,0.02,0.03,0.02,0.03,0.01,-0.05,0.02,0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,Alief_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,0.03,0.001,0.02,0.05,0.02,0.03,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2019,Alief_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,0.04,0.07,0.05,0.04,0.04,0.03,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 4 Mathematics_At Masters Grade Level_2019,Alief_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,2019,0.01,0.01,0.06,0.06,0.05,0.1,0.05,0.04,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2019,Alief_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.02,0.05,0.01,0.06,0.02,0.05,0.06,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 4 Reading_At Meets Grade Level or Above_2019,Alief_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.01,-0.02,-0.04,0.001,0.08,-0.02,0.001,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 4 Reading_At Masters Grade Level_2019,Alief_ISD,Grade 4 Reading,At Masters Grade Level,2018,2019,-0.02,-0.02,-0.01,0.001,-0.02,0.05,-0.01,0.001,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,Alief_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.02,-0.04,-0.01,0.03,-0.02,-0.01,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,Alief_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,0.001,-0.01,0.01,0.04,0.001,0.001,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 5 Mathematics+_At Masters Grade Level_2019,Alief_ISD,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,0.03,0.04,0.04,0.05,0.03,0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2019,Alief_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2018,2019,0.02,0.03,0.04,0.04,0.07,0.03,0.04,0.04,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2019,Alief_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2018,2019,0.001,0.0,0.001,0.02,0.01,-0.05,0.001,0.001,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 5 Reading+_At Masters Grade Level_2019,Alief_ISD,Grade 5 Reading+,At Masters Grade Level,2018,2019,0.03,0.03,0.04,0.05,0.05,-0.03,0.03,0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 5 Science_At Approaches Grade Level or Above_2019,Alief_ISD,Grade 5 Science,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.01,-0.01,0.001,0.01,-0.01,-0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 5 Science_At Meets Grade Level or Above_2019,Alief_ISD,Grade 5 Science,At Meets Grade Level or Above,2018,2019,0.08,0.08,0.06,0.06,0.09,0.001,0.07,0.06,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 5 Science_At Masters Grade Level_2019,Alief_ISD,Grade 5 Science,At Masters Grade Level,2018,2019,0.07,0.07,0.03,0.04,0.03,0.04,0.03,0.01,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above_2019,Alief_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2018,2019,0.04,0.03,0.05,0.01,0.08,0.09,0.06,0.07,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 6 Mathematics_At Meets Grade Level or Above_2019,Alief_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 6 Mathematics_At Masters Grade Level_2019,Alief_ISD,Grade 6 Mathematics,At Masters Grade Level,2018,2019,0.03,0.02,0.03,-0.01,0.04,0.09,0.03,0.04,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 6 Reading_At Approaches Grade Level or Above_2019,Alief_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.02,-0.03,-0.03,-0.01,-0.09,-0.02,-0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 6 Reading_At Meets Grade Level or Above_2019,Alief_ISD,Grade 6 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.03,-0.04,-0.05,-0.04,0.01,-0.04,-0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 6 Reading_At Masters Grade Level_2019,Alief_ISD,Grade 6 Reading,At Masters Grade Level,2018,2019,-0.01,-0.01,-0.01,-0.02,-0.01,0.05,-0.02,-0.01,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above_2019,Alief_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2018,2019,0.03,0.02,0.03,0.03,0.03,-0.06,0.03,0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 7 Mathematics_At Meets Grade Level or Above_2019,Alief_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.03,0.05,0.08,0.05,0.001,0.04,0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 7 Mathematics_At Masters Grade Level_2019,Alief_ISD,Grade 7 Mathematics,At Masters Grade Level,2018,2019,-0.01,-0.02,0.001,0.03,-0.01,-0.03,0.001,-0.02,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 7 Reading_At Approaches Grade Level or Above_2019,Alief_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.01,0.001,0.02,0.01,-0.16,0.001,-0.01,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 7 Reading_At Meets Grade Level or Above_2019,Alief_ISD,Grade 7 Reading,At Meets Grade Level or Above,2018,2019,0.01,0.01,0.001,0.02,0.001,-0.13,0.001,-0.01,,,,,,,,,,,,,,,,,,
Alief_ISD_Grade 7 Reading_At Masters Grade Level_2019,Alief_ISD,Grade 7 Reading,At Masters Grade Level,2018,2019,0.001,0.01,-0.02,-0.02,0.001,-0.08,-0.01,-0.02,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,Aristoi_Classical,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.08,0.001,-0.2,-0.06,-0.19,-0.06,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,Aristoi_Classical,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,-0.17,-0.06,-0.25,-0.24,-0.19,-0.03,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 5 Mathematics+_At Masters Grade Level_2019,Aristoi_Classical,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,-0.06,0.14,0.06,-0.2,0.02,0.06,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 5 Reading+_At Approaches Grade Level or Above_2019,Aristoi_Classical,Grade 5 Reading+,At Approaches Grade Level or Above,2018,2019,0.02,0.03,-0.06,0.11,-0.1,-0.06,-0.15,0.001,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 5 Reading+_At Meets Grade Level or Above_2019,Aristoi_Classical,Grade 5 Reading+,At Meets Grade Level or Above,2018,2019,0.001,0.0,-0.12,0.19,-0.33,-0.14,-0.42,-0.51,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 5 Science_At Approaches Grade Level or Above_2019,Aristoi_Classical,Grade 5 Science,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,0.08,0.07,0.05,0.02,-0.21,0.37,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 6 Mathematics_At Approaches Grade Level or Above_2019,Aristoi_Classical,Grade 6 Mathematics,At Approaches Grade Level or Above,2018,2019,0.04,0.03,0.12,0.56,0.12,0.08,0.05,0.22,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 6 Mathematics_At Meets Grade Level or Above_2019,Aristoi_Classical,Grade 6 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.02,0.19,0.61,0.14,0.18,-0.04,0.29,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 6 Reading_At Approaches Grade Level or Above_2019,Aristoi_Classical,Grade 6 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.02,0.01,0.09,-0.03,0.06,-0.1,-0.15,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 6 Reading_At Meets Grade Level or Above_2019,Aristoi_Classical,Grade 6 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.03,0.1,0.47,0.03,0.13,0.05,-0.05,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 7 Mathematics_At Approaches Grade Level or Above_2019,Aristoi_Classical,Grade 7 Mathematics,At Approaches Grade Level or Above,2018,2019,0.03,0.02,-0.07,-0.6,-0.15,0.06,0.11,0.04,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 7 Reading_At Approaches Grade Level or Above_2019,Aristoi_Classical,Grade 7 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.01,-0.06,-0.6,0.07,-0.08,0.001,0.33,,,,,,,,,,,,,,,,,,
Aristoi_Classical_Grade 7 Reading_At Meets Grade Level or Above_2019,Aristoi_Classical,Grade 7 Reading,At Meets Grade Level or Above,2018,2019,0.01,0.01,-0.02,-0.8,0.04,0.04,0.001,0.1,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,2019,0.01,0.0,-0.01,-0.07,0.001,-0.04,-0.01,-0.01,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,-0.02,-0.01,-0.01,-0.16,-0.03,-0.08,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 3 Mathematics_At Masters Grade Level_2019,Channelview_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,0.01,-0.01,0.01,-0.07,0.001,-0.03,,,,,,,,,,,,,,,,,,
